name,code,userType,category,description
Account Officer Menu,ACCOUNT_OFFICER,CORPORATE,,Account Officer Menu
Own Account Transfer Menu,OWN_ACCOUNT_TRANSFER,CORPORATE,,Own Account Transfer Menu
Local transfer menu,LOCAL_TRANSFER,CORPORATE,,Local transfer menu
Interbank transfer,INTERBANK_TRANSFER,CORPORATE,,Interbank Transfer menu
International Transfer,INTERNATIONAL_TRANSFER,CORPORATE,,International Transfer Menu
Bulk Transfer,BULK_TRANSFER,CORPORATE,,Bulk Transfer menu
Corporate Transaction Limit,CORP_TRANSACTION_LIMIT,CORPORATE,,Corporate Transaction Limit Menu
Standing Order,STANDING_ORDER,CORPORATE,,Standing Order menu
View User,VIEW_USER,ADMIN,,View users on the system
Add Admin User,ADD_ADMIN_USER,ADMIN,,ADD  ADMIN USERS TO THE SYSTEM
Manage Account,MANAGE_ACCOUNT,RETAIL,,View Manage Accounts Menu by Retail Customer
Customize Account,CUSTOMIZE_ACCOUNT,RETAIL,,Customize Retail account
Account Settings,ACCOUNT_SETTINGS,RETAIL,,Retail Account Settings
View Account Officer Details,VIEW_ACCOUNT_OFFICER,RETAIL,,Display Account Officer Details to customer
Create Account,CREATE_ACCOUNT,RETAIL,,Create new account by customer
Manage Transfers,MANAGE_TRANSFERS,RETAIL,,View Manage Transfers Menu Item in Retail
Own Account Transfer,OWN_ACCOUNT_TRANSFER,RETAIL,,View Menu Item Own Account Transfer
Local transfer,LOCAL_TRANSFER,RETAIL,,View menu item cmb to Local transfer
Interbank Transfer,INTERBANK_TRANSFER,RETAIL,,View Menu Item for Interbank transfer
International Transfer,INTERNATIONAL_TRANSFER,RETAIL,,View Menu Item for International Transfer
Set Retail Transaction Limit,RET_TRANSACTION_LIMIT,RETAIL,,View Menu Item for transaction limit by retail user
Standing Order,STANDING_ORDER,RETAIL,,View Menu Item to set up Standing Order
Bill Payment,MANAGE_BILL_PAYMENT,RETAIL,,View Menu Item for Bill Payment
Manage Investment,MANAGE_INVESTMENT,RETAIL,,View Menu Item for Investment
Service Requests,MANAGE_SERV_REQ,RETAIL,,View Menu Item for Service Request Retail
Make Service Request,MAKE_SERV_REQ,RETAIL,,View Menu Items for making Service Requests
Track Service Requests,TRACK_SERV_REQ,RETAIL,,View Menu Item to track Service Requests Retail
Retail User Settings,RET_USER_SETTINGS,RETAIL,,View Menu Item for Retail User Settings
Retail User Alert Preference,SET_ALERT_PREFERENCE,RETAIL,,Set Retail User Alert Preference
Retail Change Password,RET_CHANGE_PASSWORD,RETAIL,,View Menu Item to Change Password Retail
View Mailbox Retail,RET_MAILBOX,RETAIL,,View Menu Item for Retail MailBox
View Retail Beneficiaries,MANAGE_BEN,RETAIL,,View Menu Item for Retail Beneficiaries
Report Lost Token Retail,RET_LOST_TOKEN,RETAIL,,View Menu Item for Reporting Lost Token Retail
Retail Synchronise token,RET_SYNC_TOKEN,RETAIL,,View Menu Item to Sync Token Retail
Service Requests Operations,OPS_SERV_REQ,OPERATIONS,,View Menu Item for Service Request Operations
View Limit Menu,OPS_LIMIT,OPERATIONS,,View Limit Menu Item
Corporate Limit,LIMIT_CORPORATE,OPERATIONS,,Set Limit on Corporate
Corporate Limit Global,LIMIT_CORPORATE_GLOBAL,ADMIN,,Set Global Corporate Limit
Corporate Limit Class,LIMIT_CORPORATE_CLASS,OPERATIONS,,Set Corporate Limit on Account Class
Corporate Limit Account,LIMIT_CORPORATE_ACCOUNT,OPERATIONS,,Set Corporate Limit on Account
Retail Limit,LIMIT_RETAIL,OPERATIONS,,Set Limit on Retail
Retail Limit Global,LIMIT_RETAIL_GLOBAL,ADMIN,,Set Global Retail Limit
Retail Limit Class,LIMIT_RETAIL_CLASS,OPERATIONS,,Set Retail Limit on Account Class
Retail Limit Account,LIMIT_RETAIL_ACCOUNT,OPERATIONS,,Set Retail Limit on Account
Manage Contacts,CONTACT_GRP,ADMIN,,View Menu Item to Manage Account
Mailbox,MAILBOX,OPERATIONS,,Operation User MailBox
Inbox,MAILBOX_INBOX,OPERATIONS,,Have an Inbox 
Sent Mailbox,MAILBOX_SENT,OPERATIONS,,View Sent Messages in Mailbox
Fees management,MANAGE_FEES,OPERATIONS,,Fees management by Ops user
Account Restriction,ACCOUNT_RESTRICTION,OPERATIONS,,Acess to account restriction
Manage Transaction,MANAGE_TRANSACTION,OPERATIONS,,Acess to manage transactions
Account Class Restriction,ACCOUNT_CLASS_RESTRICTION,OPERATIONS,,Restrict Accounts of a particular class
Single Account Restriction,SINGLE_ACCOUNT_RESTRICTION,OPERATIONS,,Restrict a single Account
User Management,USER_MANAGEMENT,ADMIN,,Access to User Management
Admin User Management,ADMIN_USER_MANAGEMENT,ADMIN,,Manage Admin User Accounts
